Settimana;2021-22;2020-21;2019-20
42;2,49;1,33;1,07
43;2,89;1,73;1,16
44;3,24;1,93;1,15
45;3,82;2,04;1,75
46;4,19;1,93;2,15
47;4,46;1,84;2,38
48;4,39;1,68;2,39
49;4,12;1,54;3,01
50;4,43;1,39;3,49
51;4,72;1,42;4,2
52;5,16;1,25;3,92
1;4,91;1,3;4,93
2;4,87;1,35;6,59
3;4,55;1,41;8,46
4;3,79;1,41;10,66
5;3,22;1,53;12,62
6;2,79;1,49;12,11
7;2,66;1,58;10,72
8;2,78;1,64;9,15
9;3,03;1,62;7,19
10;3,86;1,56;5,35
11;4,66;1,39;4,05
12;5,11;1,16;2,79
13;5,29;0,99;1,71
14;4,55;0,9;1,12
15;3,93;0,86;0,73
16;3,64;0,85;0,56
17;2,83;;0,42
